,richness,shannon,invsimpson,treat,ID,chao.1,ACE,evenness
D01,9056,7.060516834,67.18587531,D,1,14973.80246,15891.34156,0.774928677
D02,11703,8.148543548,799.7101587,D,2,20759.0193,21902.04265,0.869864545
D04,9196,7.569393804,222.7786577,D,3,14369.3787,15181.97927,0.829384101
D05,9449,7.69859661,369.6782882,D,4,14730.68945,15634.98822,0.841039877
D06,10095,7.874494913,426.0784485,D,5,15120.3317,16076.029,0.854085634
D07,9560,7.722622333,425.6149914,D,6,15301.64668,16567.87485,0.84258956
D08,7977,7.541049816,446.7409881,D,7,11597.51613,12286.10745,0.839356987
D09,9807,7.970028635,673.2531488,D,8,15049.84309,15522.86551,0.867169757
D10,12835,8.370751569,1216.212378,D,9,22207.6378,23969.57614,0.884863905
D11,9664,7.870644705,601.6136457,D,10,14426.82515,15358.78753,0.857727219
D12,12299,8.108480556,476.0153609,D,11,22536.30998,23914.62453,0.861022119
D13,11121,7.95946459,556.0203223,D,12,21228.2262,22214.64325,0.854332344
D15,5460,6.05389959,62.40471451,D,13,9784.921824,10395.85337,0.703516098
D18,6515,7.205370533,271.9520455,D,14,10012.74253,10438.67519,0.820483188
D19,11957,8.031554438,452.3440941,D,15,21391.24789,22598.2354,0.855415136
D20,9830,7.496725464,278.7808953,D,16,17700.72964,19189.90976,0.815464711
D21,7641,7.715378378,628.2864806,D,17,11291.07805,11398.5396,0.862893806
D22,12553,8.128878387,502.4756381,D,18,22505.52805,24597.97549,0.861318489
D23,13441,8.367200435,611.1527074,D,19,23574.08101,25311.21686,0.880196003
D24,10052,8.108842657,1004.447903,D,20,14673.75208,15622.63961,0.87991091
D25,7237,7.072045104,283.4278444,D,21,12584.81499,13557.48767,0.795777576
D26,10510,7.875699873,465.7187987,D,22,16261.69805,17285.92647,0.850499972
D27,10006,7.923635721,632.3350563,D,23,17969.0884,18446.9784,0.860241795
D28,10897,8.137011133,848.4723029,D,24,17057.0743,17817.34227,0.875301055
D29,10485,7.889779238,575.8677034,D,25,17365.57597,18675.56532,0.852239588
D30,10710,7.823656306,241.0645359,D,26,19072.53537,20204.51952,0.843163343
D31,9162,7.485167379,220.726116,D,27,14519.52015,16031.26442,0.820488354
D32,8381,7.150379142,169.6960892,D,28,14360.9537,15660.79215,0.791520785
D33,10808,7.187896148,84.64255411,D,29,22136.97922,24244.71125,0.773887138
D34,7795,6.663534993,58.11660264,D,30,13260.28482,14071.35903,0.743595378
D35,7769,6.533925058,40.1725897,D,31,14055.73551,15193.40456,0.729403927
D36,11914,7.458688124,88.78963504,D,32,23103.55077,25464.62276,0.794705918
D37,13891,8.274554603,448.0134794,D,33,27041.51494,29235.23876,0.867444984
D38,12383,7.765632116,141.8600509,D,34,23112.82819,25090.03468,0.824020196
D39,11568,7.490428773,95.74419105,D,35,22978.78456,24883.87737,0.800601798
D40,11345,7.484842742,132.1302641,D,36,23489.81481,25726.46276,0.801672658
D41,13043,8.158347719,685.8306447,D,37,25499.37914,27587.04862,0.860947848
D42,10893,7.466019126,224.5612999,D,38,22770.53906,24915.13813,0.803153936
D43,9858,7.118011323,85.88553939,D,39,18760.08525,20216.1746,0.774030171
D44,11798,7.836545904,245.01736,D,40,22680.58396,23943.5133,0.835837131
D45,14295,8.21718375,309.3635203,D,41,28699.98343,30497.45429,0.858849433
D46,9368,7.100431379,101.8681816,D,42,17528.56723,19000.60026,0.776423045
D47,6283,4.965760122,10.49704402,D,43,13732.80962,15144.28705,0.56780078
D48,9289,6.803502554,45.4053104,D,44,18028.47498,19371.74588,0.744643833
D49,10404,7.576908429,236.8386061,D,45,21035.21739,21880.99027,0.819130051
D50,9889,7.726222903,361.3157593,D,46,15092.43626,16063.05328,0.839881851
D51,9978,7.557778837,332.1209422,D,47,19269.75872,20653.05954,0.820771678
D52,9187,6.983230249,77.20540483,D,48,17100.84662,18526.4495,0.765239825
D53,12314,8.094790581,548.3237137,D,49,21032.91505,22679.78751,0.859457171
D54,8822,7.137389406,70.82073831,D,50,14778.93769,16077.20211,0.785623154
D55,12076,8.104541162,557.6651601,D,51,22199.18944,24189.96841,0.862279228
D56,9832,7.242270808,97.08498797,D,52,16935.9377,18527.4175,0.787768688
P01,8857,6.70552064,22.99707709,P,1,17014.26441,19275.56926,0.737765173
P02,10650,8.041153735,613.1996811,P,2,16461.61778,17048.56286,0.867128269
P04,8273,7.168628231,107.9366747,P,3,13279.18303,13909.68521,0.794681846
P05,11522,8.150547237,625.0654068,P,4,19428.08858,20550.63558,0.871528598
P06,11411,8.014558366,230.808461,P,5,18393.50281,19124.72962,0.857875468
P07,9723,7.870793975,310.4181003,P,6,15512.98508,15232.3405,0.85717492
P08,12802,8.29571632,511.4844112,P,7,21446.89363,22693.80757,0.877170714
P09,9417,7.419081047,177.1302879,P,8,15549.33351,17023.60655,0.810804441
P10,12040,8.298736541,722.9049985,P,9,18132.5292,19222.25537,0.883221118
P11,11784,7.945497038,206.5796987,P,10,19509.68698,21025.19139,0.847565072
P12,12125,8.045665449,442.7743518,P,11,21135.49512,22480.43347,0.855646528
P13,11463,8.051899252,504.8529054,P,12,19287.90127,20370.51372,0.861453178
P15,7120,6.523912907,81.91361931,P,13,11297.40979,12209.69118,0.735448174
P18,6282,6.723869174,195.6277836,P,14,12399.31189,12528.49048,0.768842545
P19,10120,8.082159322,669.6949976,P,15,14798.18524,15001.75832,0.876374282
P20,10990,8.020100745,301.2006812,P,16,16477.98178,16917.96173,0.861937017
P21,6023,6.331453544,31.36839578,P,17,9867.900892,10031.30987,0.727473935
P22,6070,7.383618517,270.3821476,P,18,10887.50117,11839.0621,0.847608999
P23,12210,8.347727726,1137.857773,P,19,19060.15998,20222.97435,0.887111408
P24,13014,8.386705978,1221.569387,P,20,22572.68585,24434.67952,0.885254366
P25,7206,7.181930022,314.7542807,P,21,10942.28264,11567.67936,0.808532862
P26,10375,8.104344166,560.88489,P,22,17676.98993,18113.47267,0.876414934
P27,9551,7.708976753,265.6400351,P,23,16117.8428,16856.19603,0.84118718
P28,13295,8.314763009,786.1750993,P,24,23577.53069,25002.84966,0.875685889
P29,11554,8.032063298,647.2470521,P,25,20820.48953,22509.8071,0.858604618
P30,13629,8.566974964,1289.364937,P,26,22845.87329,24259.49152,0.899896567
P31,10965,8.085882426,522.3844979,P,27,16660.47822,17225.49767,0.869219459
P32,8183,7.402864931,293.3247806,P,28,12058.52281,12934.05708,0.82164458
P33,13994,8.478624324,1026.757688,P,29,24866.40588,26923.09868,0.888150359
P34,9089,7.888452181,781.2067403,P,30,13644.93211,14343.47331,0.865453408
P35,10986,8.165514434,955.0444273,P,31,16594.4215,17534.28075,0.877599266
P36,12509,8.419479489,1315.933459,P,32,19943.93106,21246.38457,0.89244199
P37,12210,8.187073985,787.9765571,P,33,21640.42234,22761.69095,0.870038766
P38,15064,8.749853994,1688.265422,P,34,25463.71676,27371.98819,0.909542269
P39,9320,7.597234073,274.940775,P,35,14134.03457,15122.57176,0.831214695
P40,9719,7.351350682,121.6620159,P,36,16099.71868,17057.73428,0.800640424
P41,11942,8.152516421,586.7446596,P,37,19349.09181,20373.00786,0.868414513
P42,13341,8.253277797,765.5621288,P,38,25269.62076,27526.86963,0.86889438
P43,12251,8.196334481,648.5325104,P,39,21108.25832,22247.14536,0.87071269
P44,12095,8.038497439,443.6843441,P,40,22250.21837,23763.40275,0.855109503
P45,13279,8.572970401,1334.39275,P,41,20058.84457,20996.92228,0.902994036
P46,11264,7.62693872,241.9992506,P,42,20983.36364,22646.30093,0.817519415
P47,11594,8.120381923,568.7295737,P,43,18817.76785,19592.401,0.867725055
P48,10204,8.06749598,632.3546143,P,44,16409.77867,16496.85039,0.874000901
P49,11547,8.053525957,639.6153552,P,45,20931.85297,22105.83639,0.86095469
P50,10541,7.841151237,510.6267058,P,46,19204.79365,20425.36556,0.846499816
P51,11440,7.695278373,243.9777731,P,47,20789.64327,22520.78267,0.823476125
P52,9841,7.76078688,562.8398653,P,48,17934.32522,19080.0305,0.8440856
P53,11662,8.023099337,605.731357,P,49,19989.01031,21699.91513,0.856794254
P54,10525,8.082995603,882.3217582,P,50,16855.49749,17860.92174,0.872751503
P55,12954,8.333412704,1045.540796,P,51,22898.81674,24614.85849,0.880058294
P56,10233,7.35743709,221.3351219,P,52,21268.04529,22918.50543,0.796830913
R01,9168,7.954918132,804.6546069,R,1,13206.56007,13612.04884,0.871917621
R02,13351,8.504168043,1456.433025,R,2,24238.88364,25546.22466,0.89523716
R04,8709,7.728153863,485.0094402,R,3,14166.93413,14689.10501,0.851858272
R05,11760,8.343841559,1227.931805,R,4,17724.48954,18744.59142,0.890251039
R06,14419,8.649976596,1686.533272,R,5,25233.89038,26850.23777,0.90326898
R07,13511,8.593917539,1848.766472,R,6,23016.38929,24527.46082,0.903552004
R08,10540,8.158844102,1146.109194,R,7,16726.25506,17594.37449,0.880805708
R09,12961,8.505735173,1655.699894,R,8,22010.2736,23475.469,0.898205335
R10,11214,8.315358674,1271.043561,R,9,16901.10574,17636.59775,0.891735287
R11,10919,8.165997828,907.5473348,R,10,17053.69816,18105.06552,0.878228628
R12,12747,8.387381364,1241.075297,R,11,23058.63522,24168.84496,0.887267101
R13,9906,7.9300146,777.1579311,R,12,16177.48539,17160.61314,0.861874178
R15,10869,7.705310228,122.1985561,R,13,18236.2433,19138.46716,0.829092301
R18,11319,8.419807334,1700.89755,R,14,16910.38075,17313.47754,0.902034781
R19,10386,8.01694757,749.9807516,R,15,16799.36788,17615.0469,0.866864407
R20,11094,8.241237665,1204.892034,R,16,17045.15308,18145.94789,0.884807425
R21,9409,7.845448382,593.0274268,R,17,14714.30694,15411.83791,0.857480223
R22,9740,7.898313197,447.5917262,R,18,14321.42178,15122.83855,0.860008308
R23,9594,7.863240825,461.8522856,R,19,19356.93988,22203.96897,0.857599785
R24,10637,8.10958229,714.2613196,R,20,16235.91414,17307.36703,0.874622549
R25,7949,7.058337115,156.1403515,R,21,13491.28221,14520.32821,0.78593622
R26,12646,8.476275912,1304.360736,R,22,20579.39677,21464.98878,0.897426103
R27,7293,6.888041817,79.19716561,R,23,12405.50884,12962.01279,0.77440103
R28,12705,8.518696729,1035.628684,R,24,21312.06911,21660.45169,0.901473152
R29,10435,7.905029493,501.6363165,R,25,16292.23047,17433.1762,0.854328017
R30,12957,8.276894254,828.4060396,R,26,23067.54797,24653.77518,0.874068232
R31,8376,8.187147475,1252.654877,R,27,11161.09884,11028.6289,0.906347116
R32,11040,8.305178622,1233.108005,R,28,16857.86735,17379.57527,0.892139707
R33,14099,8.559935072,1038.628364,R,29,23306.65468,24676.66149,0.89596622
R34,11327,8.216883246,629.927694,R,30,18260.97698,18769.67842,0.880228395
R35,11628,8.404435403,1196.955048,R,31,17069.82414,17732.22503,0.89779742
R36,15417,8.728777582,1300.69392,R,32,27635.01935,29396.53559,0.905171932
R37,13102,8.57147541,1453.301266,R,33,20437.35637,21399.46373,0.904114464
R38,11496,8.312895685,1003.719774,R,34,17167.99176,18067.53806,0.889103104
R39,11715,8.2592731,801.5786724,R,35,18145.71676,19110.67245,0.881588578
R40,11786,8.352052376,809.1884036,R,36,16875.49098,17814.23456,0.890917169
R41,13485,8.551946648,1416.221371,R,37,22483.45748,24010.36284,0.899321376
R42,11372,8.270254205,953.9790812,R,38,17180.48914,17988.64673,0.885569587
R43,12306,8.579864793,2022.065026,R,39,18583.19517,19258.49906,0.911022354
R44,13650,8.562623716,1423.622114,R,40,23941.71235,24951.36142,0.89929406
R45,14747,8.707378898,1608.29051,R,41,26498.13351,27845.24993,0.907132504
R46,12419,8.220033467,599.4239563,R,42,21495.37691,23008.9763,0.871968647
R47,13882,8.393451794,659.3124381,R,43,25626.80356,27313.70134,0.879969101
R48,13222,8.416428048,846.3598964,R,44,21942.1875,23686.75639,0.886907234
R49,9513,7.471744673,93.11778216,R,45,14352.3339,14579.76972,0.815655735
R50,12492,8.092543977,486.9519631,R,46,22850.53989,24699.21503,0.857911381
R51,12929,8.242515262,563.3919249,R,47,22605.15464,24443.81183,0.870636595
R52,11196,8.127384356,810.5031424,R,48,19782.21069,20677.539,0.871727181
R53,11761,7.971186437,447.8288646,R,49,21616.99617,23123.0689,0.850482668
R54,13361,8.490933522,893.7086896,R,50,21933.79849,22898.18366,0.893773511
R55,14224,8.69494854,1637.595358,R,51,23463.69331,24462.49839,0.909257982
R56,10324,6.326335068,11.58673358,R,52,20014.13106,21568.51872,0.684503353
S01,9268,7.412030636,114.3396976,S,1,14801.90688,15465.17698,0.811448285
S02,11764,8.269631127,1022.499576,S,2,18603.72457,19790.71387,0.882301099
S04,8884,7.394675478,169.7812808,S,3,14394.96326,15143.25897,0.813316062
S05,10552,7.734029873,232.5840221,S,4,16636.88283,17735.15531,0.834841413
S06,11178,7.857355995,324.7424441,S,5,19570.34205,20348.69335,0.842909941
S07,10167,7.713555015,308.0692004,S,6,16855.33767,18088.53031,0.835985321
S08,8278,7.65592348,505.5264124,S,7,12094.30457,12676.88608,0.848644362
S09,12280,8.114926551,582.1136904,S,8,22337.56115,24137.29271,0.861848095
S10,11077,8.217017527,1056.484045,S,9,16797.08933,17881.98411,0.882352344
S11,11030,8.107761188,791.359707,S,10,16567.793,17868.26785,0.871017977
S12,10614,7.987873342,523.9390798,S,11,16800.91024,17767.36075,0.861697344
S13,11630,8.101173133,699.2179192,S,12,19911.60194,21226.77122,0.865385759
S15,5690,5.892958111,56.31888845,S,13,10485.43347,11269.40709,0.68154532
S18,8218,7.365702002,268.2384919,S,14,14539.77885,15063.54942,0.81713278
S19,10819,7.860714559,383.1275057,S,15,18551.69624,19176.0577,0.846233666
S20,9017,7.423466058,200.1944263,S,16,13455.72757,14205.40405,0.815150379
S21,10848,7.992515381,584.0470998,S,17,17388.00048,18413.69394,0.860174608
S22,12606,8.31395698,814.1649911,S,18,20788.22374,22538.14253,0.880535928
S23,10478,7.690370758,286.7074855,S,19,17902.2625,19362.08408,0.830759777
S24,12448,8.293507897,987.8131527,S,20,21282.39846,22891.72959,0.879545087
S25,8634,7.330843022,335.0443591,S,21,16856.08429,17835.86815,0.808834645
S26,11858,8.097014812,586.9012511,S,22,19294.81526,20260.71405,0.863151442
S27,10895,8.097569848,640.936259,S,23,18881.93301,19669.91535,0.871075542
S28,10952,7.908532579,438.8846016,S,24,16914.94079,18259.98589,0.850263062
S29,8573,7.40345685,232.2601832,S,25,13981.01308,14939.21686,0.817485857
S30,10949,8.06103994,431.2935092,S,26,16922.02101,17848.19851,0.866684979
S31,9051,7.429365387,231.0205296,S,27,13796.83923,14791.83098,0.815461165
S32,9228,7.544781674,303.839164,S,28,13908.41401,14876.45591,0.826372797
S33,8311,6.978258464,99.51067604,S,29,13375.48795,14568.32049,0.773185516
S34,8845,7.346370594,227.4055597,S,30,13501.72345,14404.2027,0.808394344
S35,10737,7.648340148,268.3719075,S,31,19465.50775,21089.9218,0.824045739
S36,9282,7.382849463,121.3175085,S,32,14132.31117,14893.46276,0.808120071
S37,12399,8.277863198,883.474518,S,33,21712.93047,23089.49702,0.878253292
S38,13995,8.346838369,600.6685638,S,34,25567.58933,27658.7618,0.87433901
S39,9979,7.846920265,506.5858412,S,35,15078.44958,16038.33363,0.852163044
S40,10667,7.87063832,577.4374956,S,36,18592.13846,19888.99841,0.848594563
S41,11368,8.097180578,796.8586307,S,37,19602.12104,20724.59881,0.867069719
S42,8557,7.327900901,274.5226249,S,38,13474.07692,14662.78528,0.809309946
S43,10592,7.761046795,366.5790987,S,39,18124.42879,19360.72838,0.837415713
S44,13228,8.282453093,726.8161224,S,40,23549.28658,25423.63445,0.872747482
S45,12613,8.090477039,401.7918689,S,41,22740.05823,24209.63877,0.856816663
S46,8629,7.061333234,160.160143,S,42,15017.25617,16122.04617,0.779148592
S47,9230,6.764526198,57.99682506,S,43,19557.61569,21485.51865,0.740894568
S48,10578,7.508935816,187.9686733,S,44,20019.0595,21285.81381,0.810328621
S49,12004,8.105622801,789.9817898,S,45,22749.46488,24110.5042,0.862943355
S50,10237,7.738421653,456.738999,S,46,18872.35573,20105.34127,0.838057129
S51,11821,7.837876529,331.9928551,S,47,23403.93909,24921.79716,0.835805434
S52,9884,7.664385793,385.7537307,S,48,17878.66263,19194.17705,0.833205632
S53,12278,8.190027482,760.7187313,S,49,22202.84527,23545.89477,0.869839258
S54,12272,8.249506044,975.1952063,S,50,23128.67965,23934.94398,0.876201792
S55,13200,8.365752909,958.4464132,S,51,24845.76364,26362.49174,0.881721912
S56,11114,7.87252993,408.1375493,S,52,21286.17609,22578.71131,0.845058288
T01,10192,7.279377056,71.11825996,T,1,17562.37049,18863.41417,0.788719731
T02,13166,8.426978872,1283.055962,T,2,23630.14262,25379.24376,0.888416415
T04,9416,7.585078009,260.9059585,T,3,15502.05764,16377.82183,0.828955267
T05,10548,7.865834848,392.1419166,T,4,17613.86329,18694.03531,0.849103709
T06,11166,7.872661155,332.4089932,T,5,17739.27578,18860.26402,0.844649153
T07,10106,7.754540921,384.2798177,T,6,15993.61622,17282.95697,0.840975814
T08,12215,8.130202348,589.1339039,T,7,21843.29897,23570.45364,0.863957439
T09,11835,8.199727476,816.2575307,T,8,19098.48154,20618.81733,0.874281681
T10,12217,8.288591131,873.1946207,T,9,19281.91477,20637.03703,0.880773328
T11,11549,8.171327104,867.07383,T,10,18594.04634,19887.68415,0.873531939
T12,10677,7.77537309,251.015148,T,11,16890.6558,17849.80561,0.838238594
T13,9900,7.644868795,275.8306727,T,12,15301.34983,16480.27855,0.830937804
T15,6631,5.909526675,42.17214175,T,13,10946.49431,11869.96019,0.671574448
T18,7204,7.607896491,564.0000052,T,14,10519.79385,10614.06051,0.85651441
T19,10280,7.897684396,497.8482494,T,15,14940.23223,16001.69814,0.854916909
T20,13219,8.320168336,882.5568317,T,16,23916.2082,25886.37076,0.876784534
T21,10977,7.952568152,379.1443699,T,17,16918.05734,17714.45179,0.85478788
T22,10615,8.017546773,604.4908354,T,18,16263.1947,17453.54988,0.864889596
T23,11542,8.157594954,708.6909604,T,19,17802.01112,18857.54931,0.87212047
T24,11050,8.209207007,986.8558077,T,20,17413.96779,18454.41164,0.881744711
T25,8078,7.293302968,316.0125964,T,21,13218.77596,14275.95813,0.810646255
T26,10801,7.958433792,470.5738256,T,22,17204.78235,17948.7082,0.856907093
T27,9546,7.857482432,448.3631923,T,23,15004.05556,15820.66504,0.857440798
T28,12344,8.170088007,572.1417547,T,24,20282.55218,21771.58369,0.867227758
T29,10348,7.853972849,555.9723626,T,25,17607.36321,18896.36081,0.849578842
T30,11088,8.254658601,961.826057,T,26,17325.56727,18148.18851,0.886299821
T31,10038,7.670187517,300.1047624,T,27,16235.53343,17524.22347,0.832437233
T32,8886,7.437703581,281.3936665,T,28,13714.83898,14616.48405,0.818028329
T33,9675,7.472571851,271.605947,T,29,16689.43023,18038.72156,0.814245086
T34,9126,7.332421443,212.4270093,T,30,15814.36478,16927.66052,0.804092084
T35,9856,7.715677612,367.062942,T,31,15531.54167,16707.01921,0.839040396
T36,10070,7.583332747,175.1523827,T,32,16219.37519,17296.87801,0.822726785
T37,11116,8.028156862,405.4932008,T,33,17248.00935,18440.21494,0.861747052
T38,14148,8.323076144,501.0433397,T,34,27106.41782,29646.91951,0.870858012
T39,10438,7.862659352,462.0461987,T,35,16916.34908,17953.04004,0.849722509
T40,14236,8.44704835,1017.717479,T,36,25539.60784,28079.6362,0.883256393
T41,11206,8.163172107,824.0196183,T,37,17216.13401,18401.92721,0.87548187
T42,9840,7.649163342,422.6456251,T,38,16746.64028,17929.2708,0.831954297
T43,12304,8.011402453,469.2221402,T,39,22938.66499,24625.42183,0.850676888
T44,11967,8.08769415,645.6348731,T,40,20974.47718,22838.09343,0.861317707
T45,12539,7.939985617,240.7208312,T,41,23455.71564,24997.40913,0.841403302
T46,10135,7.478340557,282.9848476,T,42,19891.28846,21511.65889,0.810770078
T47,10323,7.176495652,95.0370336,T,43,20814.40527,22773.90436,0.776498046
T48,11573,7.754922482,269.2715822,T,44,21679.12926,23728.73124,0.828833478
T49,11823,8.056253066,644.5357545,T,45,21430.61767,23293.78772,0.859076893
T50,10546,7.767273562,389.9460225,T,46,18953.56459,20091.25695,0.838481346
T51,11932,7.981255507,479.6428775,T,47,21930.05464,23441.63936,0.850247495
T52,12235,8.093634025,537.9555334,T,48,24071.21217,25470.20783,0.859922003
T53,11641,8.118655894,798.3907127,T,49,20912.82476,21786.4307,0.867165734
T54,7074,6.077464906,14.10927387,T,50,12083.86525,12209.06602,0.68562055
T55,12804,8.347234977,926.7854728,T,51,22254.27422,23866.32736,0.882603605
T56,11893,7.992272867,492.5217191,T,52,22867.5538,24526.43041,0.851718232
